Description,Currency_Time,Prerequisite_1,Remarks,Offline,Availability,Website,Local_Fees,Prerequisite_2_grade,City,Country,Course,Distance,Blended,Face_to_Face,Duration,Prerequisite_1_grade,Level_Code,Career_Outcomes,Faculty,Currency,Part_Time,Online,Prerequisite_2,Int_Fees,Full_Time,University,Duration_Time,Course_Lang,Prerequisite_3_grade,Prerequisite_3
A half-day course delivering practical information on the application of AS/NZS ISO 31000 and how to embed a risk-aware culture to enhance business opportunity and strategy. This course provides participants with: Who should attend this event? View the course outline    Members of Governance Institute receive a discount of up to $110 per short course — find out if you are eligible.,year,,,,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E03707/risk-management-essentials?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,485.00 Member / 565.00 Subscriber / 595.00 Non-member,,Online,,Risk Management Essentials,no,no,,3.5,,VOC,,Business & Commerce & Finance & Accounting,AUD,yes,yes,,485.00 Member / 565.00 Subscriber / 595.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
"This practical half-day course focuses on key objectives and elements of effective project governance, and explains why conventional project management techniques are only half the story.  To ensure your organisation’s critical projects are delivered on time and within budget, you should attend this course.   The course offers a practical guide to governance within a project management environment, and includes: Who should attend this event? View the course outline   Members of Governance Institute receive a discount of up to $110 per short course — find out if you are eligible.",year,,,,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E03708/project-governance-accountability-and-risk-ma?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,485.00 Member / 565.00 Subscriber / 595.00 Non-member,,Online,,Project Governance: Accountability and Risk Management,no,no,,3.5,,VOC,,Humanities and Social Science,AUD,yes,yes,,485.00 Member / 565.00 Subscriber / 595.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
"A practical, full-day course covering the key elements of company secretarial practice.  If you need to enhance your knowledge of company secretarial duties and responsibilities, this is the course you should attend. Utilising practical case studies and hypothetical scenarios, you’ll acquire the tools necessary to perform confidently in your dual role.  The course covers duties under the Corporations Act 2001 as well as exploring key aspects of statutory compliance. Supported by a suite of resources, this course is highly recommended for governance professionals.   Who should attend? View the course outline   Members of Governance Institute receive a discount of up to $110 per short course — find out if you are eligible.",year,,,,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E03709/practical-on-the-job-skills-for-company-secre?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,"970.00 Member / 1,130.00 Subscriber / 1,190.00 Non-member",,Online,,Practical On-the-Job Skills for Company Secretaries,no,no,,7,,VOC,,Humanities and Social Science,AUD,yes,yes,,"970.00 Member / 1,130.00 Subscriber / 1,190.00 Non-member",yes,Governance Institute of Australia,Hours,English,,
"This informative half-day course demystifies the legal structures and regulatory framework underpinning Not-for-Profit (NFP) organisations. This course will help you: This course is ideal for board secretaries, accountants, officers, directors, and board and committee members keen to increase their understanding of the legal and regulatory requirements in the NFP sector. Who should attend? NFP professionals including board secretaries and managers that interact with boards, CEOs, CFOs, board and committee members, general managers treasurers and governance professionals. View the course outline   Members of Governance Institute receive a discount of up to $110 per short course — find out if you are eligible.",year,,,,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E03710/not-for-profit-regulatory-compliance?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,485.00 Member / 565.00 Subscriber / 595.00 Non-member,,Online,,Not-for-Profit Regulatory Compliance,no,no,,3.5,,VOC,,Computer Science & Information Technology,AUD,yes,yes,,485.00 Member / 565.00 Subscriber / 595.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
"This practical half-day course provides participants with a sound knowledge of officer and director duties as well as the skills required to participate effectively in an Not-for-Profit (NFP) board or management committee. This informative half-day course provides participants with: Supported by a suite of resources, this course is recommended for all professionals looking to consolidate their corporate governance knowledge in the NFP sector. It is particularly designed to strengthen the knowledge and capabilities of those who interact with boards. Who should attend? NFP professionals including board secretaries and managers that interact with boards, CEOs, CFOs, board and committee members, general managers treasurers and governance professionals. View the course outline   Members of Governance Institute receive a discount of up to $110 per short course — find out if you are eligible.",year,,,,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E03711/not-for-profit-officers-directors-and-the-boa?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,485.00 Member / 565.00 Subscriber / 595.00 Non-member,,Online,,"Not-for-Profit Officers, Directors and the Board",no,no,,3.5,,VOC,,Computer Science & Information Technology,AUD,yes,yes,,485.00 Member / 565.00 Subscriber / 595.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
"A practical overview of financial reporting, tax and auditing requirements of organisations in the Not-for-Profit (NFP) sector. This course will help you: This course is ideal for secretaries, treasurers, officers, board and committee members keen to increase their financial understanding of their NFP organisation. It develops the ability to read and relate critically on financial statements and board reports as well as addressing detailed compliance issues. Who should attend? NFP professionals such as: board secretaries, officers and directors, CEOs, CFOs, board and committee members, general managers, treasurers and governance professionals. View the course outline   Members of Governance Institute receive a discount of up to $110 per short course — find out if you are eligible.",year,,,,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E03712/not-for-profit-financial-management?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,485.00 Member / 565.00 Subscriber / 595.00 Non-member,,Online,,Not-for-Profit Financial Management,no,no,,3.5,,VOC,,Computer Science & Information Technology,AUD,yes,yes,,485.00 Member / 565.00 Subscriber / 595.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
"A course that offers guidance on the legal issues, regulatory requirements and core functions for those involved in meetings, minute taking and recording resolutions.  Examine the types of meetings and appropriate styles for running meetings.  Learn from examples of key documents, course notes, case studies and other sources of information covered during the course. Ideal for anyone involved in managing meetings or understanding the protocols and procedures for conducting any form of meeting.   Note: Please consider the short course Effective Minute Taking if your role involves taking minutes at meetings and you require an understanding of recording resolutions, outcomes and actions.  Who should attend this event? View the course outline   Members of Governance Institute receive a discount of up to $110 per short course — find out if you are eligible.",year,,,,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E03713/meetings-minutes-and-resolutions?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,485.00 Member / 565.00 Subscriber / 595.00 Non-member,,Online,,"Meetings, Minutes and Resolutions",no,no,,3.5,,VOC,,Computer Science & Information Technology,AUD,yes,yes,,485.00 Member / 565.00 Subscriber / 595.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
"This half-day course focuses on the role of an effective compliance framework as an integral part of an organisation’s overall business strategy. In this course, you will: Who should attend this event? View the course outline   Members of Governance Institute receive a discount of up to $110 per short course — find out if you are eligible.",year,,,,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E03714/meeting-compliance-requirements?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,485.00 Member / 565.00 Subscriber / 595.00 Non-member,,Online,,Meeting Compliance Requirements,no,no,,3.5,,VOC,,Computer Science & Information Technology,AUD,yes,yes,,485.00 Member / 565.00 Subscriber / 595.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
"This informative half-day course examines legislation, regulations and case law that underpin governance systems in companies and other organisations. This course will help you: Using case studies and recent examples of both ‘good’ and ‘bad’ governance practice, this course is ideal for company and board secretaries and assistants as well as governance para-professionals keen to increase their understanding of the legal framework and good governance Who should attend? View the course outline  Members of Governance Institute receive a discount of up to $110 per short course — find out if you are eligible.",year,,,,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E03715/legal-framework-of-governance?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,485.00 Member / 565.00 Subscriber / 595.00 Non-member,,Online,,Legal Framework of Governance,no,no,,3.5,,VOC,,Humanities and Social Science,AUD,yes,yes,,485.00 Member / 565.00 Subscriber / 595.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
Explores how governance and risk management are essential to an organisation’s improved corporate performance. This course offers an overview of the role of the board in governance and risk management; it examines current issues and explores best practice in strategic risk management. The key objectives are to: Who should attend this event? View the course outline   Members of Governance Institute receive a discount of up to $110 per short course — find out if you are eligible.,year,,,,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E03716/governance-and-risk-management?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,385.00 Member / 465.00 Subscriber / 495.00 Non-member,,Online,,Governance and Risk Management,no,no,,3.5,,VOC,,Humanities and Social Science,AUD,yes,yes,,385.00 Member / 465.00 Subscriber / 495.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
This half-day course provides a concise and practical overview of the essentials of good governance across all sectors. Why you should register: Who should attend? View the course outline   Members of Governance Institute receive a discount of up to $110 per short course — find out if you are eligible.,year,,,,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E03717/governance-essentials?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,485.00 Member / 565.00 Subscriber / 595.00 Non-member,,Online,,Governance Essentials,no,no,,3.5,,VOC,,Humanities and Social Science,AUD,yes,yes,,485.00 Member / 565.00 Subscriber / 595.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
"This practical half-day course will increase your financial literacy in reading and understanding financial statements. Go beyond the numbers and interpret an organisation’s financial position and performance as well as examining the challenges involved in the preparation of financial statements. Recommended for senior managers and directors, it is designed for those without a background in accounting or finance, as well as those seeking a knowledge refresher. Who should attend? View the course outline   Members of Governance Institute receive a discount of up to $110 per short course — find out if you are eligible.",year,,,,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E03718/financial-analysis-for-officers-and-directors?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,485.00 Member / 565.00 Subscriber / 595.00 Non-member,,Online,,Financial Analysis for Officers and Directors,no,no,,3.5,,VOC,,Business & Commerce & Finance & Accounting,AUD,yes,yes,,485.00 Member / 565.00 Subscriber / 595.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
"Governance practice has never been more scrutinised by regulators, the courts and the general public. Recent court decisions concerning the duties of officers and directors have highlighted the inherent risks involved in acting as a company officer or director. It is critical directors and other company officers have a clear understanding of their roles and responsibilities and the practice of good governance.  Recommended for all senior managers, officers and directors, this half-day course covers the core duties and responsibilities of officers and directors.   You will: Who should attend? View the course outline   Members of Governance Institute receive a discount of up to $110 per short course — find out if you are eligible.",year,,,,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E03719/duties-of-officers-and-directors?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,485.00 Member / 565.00 Subscriber / 595.00 Non-member,,Online,,Duties of Officers and Directors,no,no,,3.5,,VOC,,Business & Commerce & Finance & Accounting,AUD,yes,yes,,485.00 Member / 565.00 Subscriber / 595.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
"This half-day course focuses on the recovery of your business in the event of a crisis or disaster. Organisations must be fully equipped to respond effectively to disasters or other extraordinary circumstances that cause major disruption to normal operations. The most widely accepted strategy for addressing the risks of major disruption to operations is to implement a business continuity plan (BCP). Having a business continuity plan, as well as plans to protect the organisation’s public reputation in the immediate aftermath of a major unplanned event or crisis, is a critical aspect of an organisation’s risk management framework. In this course, participants will: Who should attend? View the course outline  Members of Governance Institute receive a discount of up to $110 per short course — find out if you are eligible.",year,,,,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E03720/business-continuity-and-reputation-risk?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,485.00 Member / 565.00 Subscriber / 595.00 Non-member,,Online,,Business Continuity and Reputation Risk,no,no,,3.5,,VOC,,Computer Science & Information Technology,AUD,yes,yes,,485.00 Member / 565.00 Subscriber / 595.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
"The Australian Stock Exchange (ASX) is one of the leading security exchanges in the world and plays a vital role in Australia's economic and financial stability. As a regulatory body, the ASX requires listing companies to comply with its Listing Rules, Operating Rules, and Market Integrity Rules. Although the ASX Listing Rules (LR) only apply to public listed companies, the objectives and principles underlying them promote best practice corporate governance, and are relevant to organisations across all industries and sectors. This course: ASIC and ASX have provided guidance, class waivers and concessions, on a temporary basis, to facilitate capital raisings and member meetings of listed companies during the COVID-19 health crisis. The amendments will be discussed in this session and are detailed in an addendum to the course notes. View course outline here Members of Governance Institute receive a discount of up to $110 per short course — find out if you are eligible.",year,,,,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E03721/meeting-asx-listing-rules-requirements?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,485.00 Member / 565.00 Subscriber / 595.00 Non-member,,Online,,Meeting ASX Listing Rules Requirements,no,no,,3.5,,BA,,Computer Science & Information Technology,AUD,yes,yes,,485.00 Member / 565.00 Subscriber / 595.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
"This half-day course provides a practical and applied approach to meeting ASIC requirements. ASIC is the regulator of company behaviour, and it is essential to have a sound and current understanding of both the enabling and limiting conditions of governance regulations. Designed in close consultation with industry practitioners, this course provides: Newly appointed company secretaries and those keen to consolidate and refresh their knowledge of ASIC requirements should attend this course. Who should attend? View the course outline   Members of Governance Institute receive a discount of up to $110 per short course — find out if you are eligible.",year,,,,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E03722/meeting-asic-requirements?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,485.00 Member / 565.00 Subscriber / 595.00 Non-member,,Online,,Meeting ASIC Requirements,no,no,,3.5,,BA,,Computer Science & Information Technology,AUD,yes,yes,,485.00 Member / 565.00 Subscriber / 595.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
"This half-day course provides practical information and resources you can apply directly in your role as company secretary. Covering the essentials of corporate governance, the program will equip you to: Perform your key responsibilities with confidence, including statutory obligations, corporate governance, director and shareholder meetings and minutes. Who should attend this event? View the course outline  Members of Governance Institute receive a discount of up to $110 per short course — find out if you are eligible.",year,,,,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E03724/accidental-company-secretary?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,385.00 Member / 465.00 Subscriber / 495.00 Non-member,,Online,,Accidental Company Secretary®,no,no,,3.5,,BA,,Medical and Nursing,AUD,yes,yes,,385.00 Member / 465.00 Subscriber / 495.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
"Meetings provide a means for collaboration, communication and decision making every day in organisations across the globe.  Decisions are made in meetings that form the basis of actions going forward. This course will develop the knowledge and skills of minute taking necessary to prepare, review and sign-off on meeting minutes that are accurate, objective and a true reflection of the meeting decisions. This course is not designed to provide a comprehensive treatment of the legal and statutory requirements for minute taking but to provide guidance on what is, and is not, professional standard and a range of tools to assist practice. The aim of this course is to equip participants with best practice knowledge and minute taking skills. The key objectives are to: •       identify the purpose, function and legislative requirements of minutes •       define the role and responsibilities of the minute taker •       examine best practice in minute taking •       explore technology advancements Members of Governance Institute receive a discount of up to $110 per subject — find out if you are eligible.",year,,,,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E04150/minutes-for-boards-and-committees?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,385.00 Member / 465.00 Subscriber / 495.00 Non-member,,Online,,Minutes for Boards and Committees,no,no,,3.5,,BA,,Computer Science & Information Technology,AUD,yes,yes,,385.00 Member / 465.00 Subscriber / 495.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
"You will receive an email with a link to this recorded webcast once you register. If you do not receive this email, contact us on 1800 251 849 Continuity planning during the Coronavirus (COVID-19) outbreak is currently top of the agenda for most businesses. In this webinar, you will hear the latest updates on this evolving issue from a leading risk expert and a senior workplace lawyer. Our panel will:  Robbie Sinclair CPP, MBA, B.Admin.L, Dip. Sec., FARPI, AMIIA, AICM, AIBF, JP (NSW) Business Continuity Planning and Risk Executive Specialist Robbie has worked for over 30 years in risk performance globally, with his leadership in crisis and emergency management distinguishing him as an international speaker. Robbie has worked with Federal governments responding to earlier influenza outbreaks.  Shae McCartney Partner, Clayton Utz Shae is a Partner in the Workplace Relations, Employment & Safety Group. Shae advises corporate and government clients on a range of industrial and employment issues, health and safety, legal compliance, as well as dispute resolution ",year,,,no,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E04153/recorded-webinar-coronavirus-covid-19-evolvin?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,0.00 Member / 45.00 Subscriber / 55.00 Non-member,,Sydney,,Recorded Webinar: Coronavirus (COVID-19) - evolving business impact and continuity planning,no,no,no,0.75,,BA,,Computer Science & Information Technology,AUD,yes,no,,0.00 Member / 45.00 Subscriber / 55.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
